Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6
5.770615819576308,62.818717585842506,70.84237740919626,15.855660905141988,42.02715788854551,77.44224762050642
76.22440924775835,72.55755181076267,67.98722415081215,79.94622397991377,1.6166299758364366,60.600455273510214
52.2066806075246,85.52017927592965,39.543482512335885,34.25011085738727,69.28067794667155,59.57672527279618
10.2576674943602,17.46816032126902,86.77687302594306,17.67600360663263,22.68107730918848,11.784056727059266
86.48133793415604,83.82884210362435,67.086013292733,30.371897482759312,28.79418115630831,35.97737052610904
76.8570057325622,17.73306432619143,85.77194932350923,34.86608368063493,67.39479218345396,75.87450553451697
30.547178682466146,1.8493878331461322,35.218486899678304,19.189862842755844,36.80922673036861,38.94162656460156
64.39464071738506,90.12317954174134,90.86721414168272,24.461832961626563,3.4256788473688182,94.7471551913677
31.130243359817953,43.98754425500604,97.37975696492529,84.01418089458036,84.8256879701026,42.49738641755013
24.776255264690306,43.60593910763728,52.08356332294003,82.35637672717925,13.230060014305845,91.0358645367007
37.66454478558132,62.34342400631102,85.11546258466022,67.00718583153851,46.18500504226184,99.6307993415776
5.57042640313653,36.05803476827908,32.26860691032576,91.8607029851859,82.07452435709669,1.3438002851310804
91.80661104539362,38.46246657941496,26.15981799197137,45.188840653958906,30.219201624883276,31.11928574524979
67.75257927602019,9.722140366705755,12.271837140524976,79.65409482423816,35.402104945290844,16.759954693642964
13.008964474774952,55.30871212506635,44.48688278468514,41.21263000284574,93.76105891175303,84.41854449946472
5.750993923116865,29.547092666978937,12.153444616750885,71.68346587554689,49.331233636597815,49.13706376275467
6.998542641967164,19.809200846209674,73.04379495036203,82.18769245232623,86.30260411026983,76.18155272695039
74.98220365770023,19.219978158355357,88.11482249782814,68.58079406098774,29.80435334726611,28.109596104135072
5.991766795446985,89.02576337339505,72.1292343488832,71.67615840423606,84.41514161937069,71.04244863577291
5.034619763891579,98.07759304613896,44.52930883923022,91.33745370454153,75.71996275160427,39.597980880424245
31.35246613210344,87.63593910060459,39.966234568798875,46.366692971341,21.70627280031826,30.39491414442528
24.99609712013585,19.90622504344508,22.756512214371515,7.633388195566681,18.429402379133297,78.30181171301001
18.25158309583822,43.87184811118503,68.4358852314956,81.06997198284735,99.29833198382197,82.8219496692672
6.491335807335641,91.25734272689986,78.88593104060854,21.69955829463546,81.64085048090651,62.538318900417636
94.08947464229237,58.976412455604155,26.767374555585953,97.98681632386035,58.95494838926153,10.840959239622016
38.03602828568725,13.684856663523737,58.86772439420792,38.772969888514005,59.273262626318726,66.40338529271561
69.81975234664866,55.51836902136853,17.38137244704465,48.8399767398606,83.87776089871049,25.397505374606677
